numerical_feature_names
overall_slope
max_depth
max_resistance
num_peaks
largest_force_drop
largest_force_drop_dep
largest_force_drop_res
curve_shape
first_quarter_slope
second_quarter_slope
third_quarter_slope
fourth_quarter_slope
depth_mean
depth_median
depth_variance
depth_quartile_1
depth_quartile_2
depth_quartile_3
depth_kurtosis
res_mean
res_median
res_variance
res_quartile_1
res_quartile_2
res_quartile_3
res_skew
res_kurtosis
k_overall
k2cm
rsquared
work2cm
Fpeak
dpeak
