depth_max,largest_force_drop_size,curve_first_quarter_slope,force_mean,rsquared,filenames,marions_ylabels,popcorn,distances
-0.550657406954989,-0.7185396015540374,-0.46622132773519837,-0.0984756804202455,0.14064371307903337,WS23_L1_T1_P_10.csv,,,51.0
0.2816330763325546,1.2717059072773722,-0.37174716825983695,-0.16887240789653635,-1.3470927283098661,WS23_L3_T1_P_10.csv,ES-D,False,188.0
2.279623312899619,0.9303003097834432,-0.6016905062066662,-1.5122519040767395,-1.2463000455747968,WS23_L3_T1_P_6.csv,ES-BW,True,98.0
0.16758850088248836,0.40324911770983846,-0.3851459751066896,-0.9666857615383015,-0.273301044314187,WS23_L3_T1_P_1.csv,ES-B,True,10.0
0.2080863946604928,2.2238772391439245,-0.6185957714173425,-0.9627779983722877,-1.1940867229007275,WS23_L3_T1_P_8.csv,ES-BW,True,161.0
-1.489193263600009,-0.983497881034834,4.784767496897505,2.0122804459180594,0.7346439794526786,WS23_L1_T1_P_17.csv,,,152.0
-0.7177930427456175,-0.1979726440114571,0.14982824892788252,1.3719403610445877,0.6088551016488994,WS23_L3_T1_P_31.csv,,,
-0.036761773486112516,1.31281596774651,-0.35452133259541085,-0.7152366521171238,-1.1057480555267856,WS23_L1_T1_P_6.csv,,,38.0
-0.02683551627737232,-0.10628965788928044,-0.3692277373929437,0.024331913113727916,0.5003052714506636,WS23_L1_T1_P_7.csv,,,41.5
-1.3884714669791538,-0.9300100694546841,-0.1539074081942869,0.1288563850751385,0.7887857960723738,WS25_Aug5_Loc1A_T1_F17_1029.csv,,,
0.16014086599096602,-0.4868551073314827,-0.36810049489705093,-0.3501082094567485,-0.3737136376997692,WS25_Aug5_Loc1A_T1_F6_0930.csv,,,
1.1319314494762596,-0.5579263940798591,-0.5660583240050101,-0.5863597411828818,0.12170041836127012,WS25_Aug6_Loc1A_T1_F32_0714.csv,,,
-0.23135642577286872,-0.32274030674747367,0.2915704868519552,0.671638543047847,-0.46529844018945954,WS25_Aug5_Loc1A_T1_F12_1010.csv,,,
2.168035294879703,-0.6310325068029642,-0.6534076296895094,-1.7738421812762666,0.6212008894008569,WS23_L3_T1_P_0.csv,LS,False,0.0
0.9894172857010356,-0.3751030692369138,-0.6323841276627058,-1.5723337546439278,0.08236945359917054,WS23_L1_T1_P_2.csv,,,5.5
-0.1314525009670914,-0.41608959199713696,-0.43888106070385463,0.27648808607045533,0.7523677829436349,WS23_L1_T1_P_8.csv,,,44.0
-0.08452048611155225,0.07755887244859724,-0.5868021557654788,-0.7529911140143623,-0.4042681622438452,WS25_Aug5_Loc1A_T1_F8_0955.csv,,,
1.0945638276810765,-0.5524359382216925,-0.6126557769072426,-1.527180005488781,-0.0654954453152424,WS23_L3_T1_P_24.csv,,,
-0.567692970786418,-0.7261049150506533,-0.5016840276998757,-0.3944822947331389,0.22737878961340258,WS25_Aug5_Loc1A_T1_F5_0929.csv,,,
0.3930828210599868,0.7632352381324509,-0.026896421288680524,0.8537095169637079,0.5000671992603023,WS23_L3_T1_P_18.csv,ES-S-Plates,False,353.0
-0.41084251436797586,-0.8177346647164091,-0.39270671242451755,-0.17055466823850932,0.7304223386109298,WS25_Aug6_Loc1A_T1_F20_0643_attempt3.csv,,,
1.2371441861175994,-0.33628701923469206,-0.5582301442190217,-1.0403568827798153,0.7969495061145905,WS23_L1_T1_P_19.csv,,,170.0
0.3951804563267015,0.27197150500783834,-0.5360196525214176,-0.1995438520722227,0.3007802452946613,WS23_L2_T1_P_2.csv,LS,,6.0
-0.6588341934296958,-0.9454732554149664,1.2465050645593703,2.753645583786893,-0.19793363964623203,WS23_L1_T1_P_16.csv,,,151.0
0.1495364812521049,-0.6155374468190536,-0.5988152662757301,-1.5029587306911754,-0.12220479872073431,WS23_L1_T1_P_1.csv,,,3.0
-0.6339111679572915,0.23527923695350744,0.11529942605701682,0.8184157597794803,0.5059434554191189,WS25_Aug5_Loc1A_T1_F24_1057.csv,,,
0.37094438433924115,2.2319078475593344,-0.6067184124877313,-0.06764769534241713,-0.1683866731098026,WS23_L3_T1_P_4.csv,ES-B,True,40.0
-1.4379997835497809,-0.8896982382018144,-0.6272286134226541,-0.5957531046805622,0.15886040606870144,WS25_Aug5_Loc1A_T1_F16_1028.csv,,,
-1.5555732699429254,-1.0062417496933929,4.077123345831542,1.2886072187941153,0.9120710329772,WS23_L1_T1_P_18.csv,,,153.0
0.13291867928303253,0.7140277801363525,-0.4682350534024583,0.06918861952067834,0.4017174753494859,WS23_L3_T1_P_13.csv,F,False,254.0
-0.2545981068484807,-0.5906907665449672,-0.08959451913999797,1.162247909252742,0.8740573912790174,WS23_L3_T1_P_16.csv,ES-B,False,317.0
-0.8017146343307346,-0.9442409181855218,0.22567433495488207,0.5834058223702052,0.7166114191458601,WS25_Aug6_Loc1A_T1_F23_0656.csv,,,
-0.922097716347562,1.0527766931690745,1.390884424679696,1.572109941750492,-0.8589912596395389,WS23_L2_T1_P_13.csv,ES-D,,88.0
0.6652723263048695,0.516962373143275,-0.5498916844208436,0.033067203461173665,0.45653265734479864,WS23_L2_T1_P_5.csv,ES-D,,19.0
-0.09416137078051356,-0.35924476008716255,-0.5668475765326326,0.4579792506533976,0.6585510437386077,WS23_L1_T1_P_3.csv,,,10.5
-0.6622321860426601,-0.018257842917189713,0.12716398893965006,-0.3612458077195946,-1.2879457247163606,WS25_Aug6_Loc1A_T1_F18_0624.csv,,,
-0.7550238622408012,-0.6223628314056284,-0.3504524682051665,0.4635758660242712,0.7710663994187359,WS23_L1_T1_P_22.csv,,,
