curve_overall_slope,depth_max,force_max,num_peaks,largest_force_drop_size,largest_force_drop_dep,largest_force_drop_res,curve_shape,curve_first_quarter_slope,curve_second_quarter_slope,curve_third_quarter_slope,curve_fourth_quarter_slope,force_quartile_1,force_quartile_2,force_quartile_3,force_variance,force_mean,force_skew,force_kurtosis,rsquared
1.0,-0.6812082757620962,0.50315953730277,-0.3229058322576306,-0.3625416634648965,-0.385472507002483,0.22108585300978528,0.11884680420498306,0.8735485992192651,0.930125227050702,0.9279066240358357,0.6854130776862029,0.2851189457625475,0.4452007069999332,0.5513389082630097,0.5721836760851066,0.5122873050113634,-0.18773259478899684,-0.21044077277841333,0.2949526748247622
-0.6812082757620962,1.0,-0.706191246421597,0.5527619103588189,0.4176695062702534,0.46124429650965115,-0.32107388007765514,-0.07413040513355419,-0.5747195749729218,-0.6003506054399139,-0.5959052870350349,-0.5850793692033773,-0.3464053240591334,-0.5026823525810407,-0.6026163251658377,-0.6223666512466827,-0.5946811409634899,0.10651232873296522,0.11947634124493459,-0.2759898952328066
0.50315953730277,-0.706191246421597,1.0,-0.48588739399637354,-0.20015580317177192,-0.3347709511859979,0.3761024739067362,-0.03453859189825744,0.43923816403886246,0.40665377491789456,0.42075814972031284,0.48771491264961725,0.4721321336322296,0.632894602824855,0.7941927436190256,0.8365014553749314,0.7921675638771677,-0.1282764484128424,-0.09341351197255113,0.22209055731027602
-0.3229058322576306,0.5527619103588189,-0.48588739399637354,1.0,0.6268759563910575,0.1420449179481852,-0.2667337506093335,0.018789723600357303,-0.24215435188371628,-0.34974847669722875,-0.295423864417328,-0.21484520018703623,-0.15597677185494094,-0.3590008207925535,-0.46549865049352485,-0.47372110263836237,-0.41632928472231734,0.09808986259478288,0.26121648978278866,-0.49207740921374726
-0.3625416634648965,0.4176695062702534,-0.20015580317177192,0.6268759563910575,1.0,-0.021390009180044686,-0.15794843459381727,-0.10404479231932905,-0.24856878666696047,-0.39722818731248577,-0.3725717039376576,-0.2050451128170201,-0.05313402521986287,-0.22605707527037056,-0.30171496138077397,-0.34758818031198147,-0.23768156458123058,0.13360534714165653,0.272804959151083,-0.6952116394768278
-0.385472507002483,0.46124429650965115,-0.3347709511859979,0.1420449179481852,-0.021390009180044686,1.0,0.33361324719692287,0.21290703861997645,-0.30708649184186254,-0.2828503822191191,-0.3268023669626207,-0.438594048956343,-0.10071543990723478,-0.0992499320603181,-0.1331525537211066,-0.24841763890468646,-0.16303815488753612,-0.19604320074314308,-0.13174356483488311,0.1779673910126181
0.22108585300978528,-0.32107388007765514,0.3761024739067362,-0.2667337506093335,-0.15794843459381727,0.33361324719692287,1.0,0.40608883464059065,0.3420891129345359,0.28358952129940823,0.19091159494175217,-0.10602740485973804,0.4782595546265742,0.589443684474701,0.5874299256216754,0.36634363261275144,0.5954944764274008,-0.47446430652770877,-0.23720962428953715,0.27039310372518155
0.11884680420498306,-0.07413040513355419,-0.03453859189825744,0.018789723600357303,-0.10404479231932905,0.21290703861997645,0.40608883464059065,1.0,0.2863274337446091,0.21313584404826597,0.07278234737692087,-0.2139732524987682,0.6310187239454202,0.6093553189187358,0.4242322400158739,0.033948611498602295,0.5081058953704422,-0.8458445381629636,-0.21406348061685238,0.23419677650541806
0.8735485992192651,-0.5747195749729218,0.43923816403886246,-0.24215435188371628,-0.24856878666696047,-0.30708649184186254,0.3420891129345359,0.2863274337446091,1.0,0.83903551592906,0.7401529872128169,0.3786801993076677,0.5740582760887541,0.6233778635759469,0.5846694672127468,0.4145038092649825,0.6326483220041562,-0.3638264816336251,-0.12854847143521758,0.2144166026577247
0.930125227050702,-0.6003506054399139,0.40665377491789456,-0.34974847669722875,-0.39722818731248577,-0.2828503822191191,0.28358952129940823,0.21313584404826597,0.83903551592906,1.0,0.8210475575415609,0.4987427802181301,0.2743746572213754,0.5350446777274905,0.5815937816273525,0.5427036210965273,0.5331332471248695,-0.32666280149454785,-0.3309425036741433,0.41630397357751125
