,depth,resistance
0,0.0,0.0
1,1.2043602242020662e-05,0.008834517502966146
2,2.4087204484041324e-05,0.017669035005932292
3,3.6130806726061985e-05,0.026503552508898437
4,4.817440896808265e-05,0.035338070011864585
5,6.021801121010331e-05,0.04417258751483073
6,7.226161345212397e-05,0.053007105017796874
7,8.430521569414463e-05,0.12407064172295088
8,9.63488179361653e-05,0.217278437177052
9,0.00010839242017818596,0.2738185468043445
10,0.00012043602242020663,0.2735740671633553
11,0.0001324796246622273,0.27107173088915026
12,0.00014452322690424794,0.26856939461494517
13,0.00015656682914626862,0.26606705834074007
14,0.00016861043138828927,0.263564722066535
15,0.00018065403363030994,0.2838243696492721
16,0.0001926976358723306,0.3301868695907419
17,0.00020474123811435124,0.3765493695322117
18,0.00021678484035637192,0.39034968875605597
19,0.00022882844259839257,0.4034483722917864
20,0.00024087204484041325,0.4165470558275168
21,0.0002529156470824339,0.4241955308718376
22,0.0002649592493244546,0.43116659277785635
23,0.00027700285156647526,0.4381376546838751
24,0.0002890464538084959,0.44510871658989387
25,0.00030109005605051656,0.45207977849591263
26,0.00031313365829253723,0.4590508404019314
27,0.00032517726053455786,0.46484020058380987
28,0.00033722086277657853,0.4677518282424223
29,0.0003492644650185992,0.47066345590103476
30,0.0003613080672606199,0.47357508355964717
31,0.0003733516695026405,0.4764867112182596
32,0.0003853952717446612,0.47939833887687205
33,0.00039743887398668187,0.4804657163046562
34,0.0004094824762287025,0.47838663110612395
35,0.00042152607847072317,0.4763075459075917
36,0.00043356968071274384,0.4742284607090595
37,0.0004456132829547645,0.47214937551052727
38,0.00045765688519678515,0.47007029031199504
39,0.0004697004874388058,0.4679912051134628
40,0.0004817440896808265,0.4659121199149306
41,0.0004937876919228471,0.46383303471639836
42,0.0005058312941648678,0.46175394951786614
43,0.0005178748964068885,0.4596748643193339
44,0.0005299184986489092,0.4575957791208017
45,0.0005419621008909298,0.45551669392226946
46,0.0005540057031329505,0.45343760872373723
47,0.0005660493053749711,0.451358523525205
48,0.0005780929076169918,0.4492794383266728
49,0.0005901365098590124,0.44720035312814055
50,0.0006021801121010331,0.4451212679296083
51,0.0006142237143430538,0.4430421827310761
52,0.0006262673165850745,0.4400627019618216
53,0.0006383109188270951,0.4362090497957593
54,0.0006503545210691157,0.43235539762969705
55,0.0006623981233111364,0.4285017454636348
56,0.0006744417255531571,0.42464809329757247
57,0.0006864853277951777,0.42079444113151016
58,0.0006985289300371984,0.4169407889654479
59,0.0007105725322792191,0.4130871367993856
60,0.0007226161345212398,0.4092334846333233
61,0.0007346597367632603,0.40537983246726106
62,0.000746703339005281,0.40152618030119874
63,0.0007587469412473017,0.3976725281351364
64,0.0007707905434893224,0.39381887596907417
65,0.0007828341457313431,0.38996522380301185
66,0.0007948777479733637,0.38611157163694954
67,0.0008069213502153844,0.3822579194708873
68,0.000818964952457405,0.378404267304825
69,0.0008310085546994257,0.3745506151387627
70,0.0008430521569414463,0.3706969629727004
71,0.000855095759183467,0.3668433108066381
72,0.0008671393614254877,0.3629896586405758
73,0.0008791829636675084,0.3591360064745135
74,0.000891226565909529,0.35528235430845123
75,0.0009032701681515496,0.35142870214238897
76,0.0009153137703935703,0.34757504997632666
77,0.000927357372635591,0.34372139781026434
78,0.0009394009748776116,0.3398677456442021
79,0.0009514445771196323,0.3368434505091638
80,0.000963488179361653,0.33453656307018376
81,0.0009755317816036737,0.33222967563120365
82,0.0009875753838456942,0.32992278819222365
83,0.000999618986087715,0.32761590075324354
84,0.0010116625883297356,0.3253090133142635
85,0.0010237061905717564,0.32300212587528343
86,0.001035749792813777,0.3206952384363034
87,0.0010477933950557975,0.3183883509973233
88,0.0010598369972978183,0.31608146355834327
89,0.0010718805995398389,0.3137745761193632
90,0.0010839242017818597,0.3114676886803831
91,0.0010959678040238802,0.3091608012414031
92,0.001108011406265901,0.306853913802423
93,0.0011200550085079216,0.304547026363443
94,0.0011320986107499422,0.30224013892446294
95,0.001144142212991963,0.29993325148548283
96,0.0011561858152339835,0.2976263640465028
97,0.0011682294174760043,0.2953194766075227
98,0.0011802730197180249,0.29301258916854267
99,0.0011923166219600457,0.2907057017295626
100,0.0012043602242020662,0.28839881429058256
101,0.0012164038264440868,0.2860919268516025
102,0.0012284474286861076,0.28378503941262245
103,0.0012404910309281281,0.2814781519736424
104,0.001252534633170149,0.2791712645346623
105,0.0012645782354121695,0.27686437709568223
106,0.0012766218376541903,0.2745574896567022
107,0.0012886654398962109,0.2722506022177221
108,0.0013007090421382314,0.2699437147787421
109,0.0013127526443802522,0.267636827339762
110,0.0013247962466222728,0.26532993990078196
111,0.0013368398488642936,0.2630230524618019
112,0.0013488834511063141,0.26071616502282186
113,0.001360927053348335,0.2584092775838418
114,0.0013729706555903555,0.25610239014486175
115,0.001385014257832376,0.2576789936486247
116,0.0013970578600743968,0.2824927268930182
117,0.0014091014623164174,0.3073064601374112
118,0.0014211450645584382,0.33212019338180465
119,0.0014331886668004588,0.3569339266261977
120,0.0014452322690424796,0.3817476598705912
121,0.0014572758712845001,0.4065613931149842
122,0.0014693194735265207,0.43137512635937725
123,0.0014813630757685415,0.45618885960377076
124,0.001493406678010562,0.48100259284816377
125,0.0015054502802525828,0.5266508811966765
126,0.0015174938824946034,0.5868874251467636
127,0.0015295374847366242,0.6452670908204569
128,0.0015415810869786448,0.6902990412008337
129,0.0015536246892206653,0.7353309915812105
130,0.0015656682914626861,0.8659014310751558
131,0.0015777118937047067,0.9509256765229659
132,0.0015897554959467275,1.1100171377101453
133,0.001601799098188748,1.19053850440877
