,depth,resistance
0,0.0,0.0016430547912851016
1,0.010101010101010102,0.01616093077785768
2,0.020202020202020204,0.025919763421889848
3,0.030303030303030307,0.03800787170962603
4,0.04040404040404041,0.044603215054054894
5,0.050505050505050504,0.04622046492151177
6,0.060606060606060615,0.07693623128002038
7,0.0707070707070707,0.07966503363295431
8,0.08080808080808081,0.10862983846455176
9,0.09090909090909091,0.12265571860493639
10,0.10101010101010101,0.1374071785428679
11,0.11111111111111112,0.14709153304979714
12,0.12121212121212123,0.15716467176547513
13,0.13131313131313133,0.15467181422191142
14,0.1414141414141414,0.1526446322396037
15,0.15151515151515152,0.150617450257296
16,0.16161616161616163,0.14859026827498825
17,0.17171717171717174,0.14656308629268053
18,0.18181818181818182,0.1445359043103728
19,0.1919191919191919,0.14250872232806508
20,0.20202020202020202,0.1421727231300567
21,0.21212121212121213,0.1486039658751657
22,0.22222222222222224,0.15331396608098025
23,0.23232323232323235,0.15963431960367191
24,0.24242424242424246,0.16799237109410733
25,0.25252525252525254,0.1740024949136906
26,0.26262626262626265,0.17558410619343948
27,0.27272727272727276,0.18842554146092932
28,0.2828282828282828,0.19483448667731548
29,0.29292929292929293,0.1981764142463238
30,0.30303030303030304,0.20000482164735597
31,0.31313131313131315,0.20263864803612222
32,0.32323232323232326,0.2032144266296989
33,0.3333333333333333,0.20365984635025794
34,0.3434343434343435,0.20481688454215688
35,0.35353535353535354,0.20750226368633132
36,0.36363636363636365,0.2104698159486963
37,0.37373737373737376,0.21622022335297938
38,0.3838383838383838,0.2234017539243394
39,0.393939393939394,0.2300290745252365
40,0.40404040404040403,0.23803854399781801
41,0.4141414141414142,0.24356527603764822
42,0.42424242424242425,0.25101463827740367
43,0.4343434343434343,0.2559853789920272
44,0.4444444444444445,0.2570648649964777
45,0.45454545454545453,0.2633480832748083
46,0.4646464646464647,0.270404276914668
47,0.47474747474747475,0.27742710399021103
48,0.4848484848484849,0.27988781130180623
49,0.494949494949495,0.2858637260444657
50,0.5050505050505051,0.2931461844726422
51,0.5151515151515151,0.3069809640128489
52,0.5252525252525253,0.3201070358924079
53,0.5353535353535354,0.3267834460550272
54,0.5454545454545455,0.33085214204422275
55,0.5555555555555556,0.33316747048810064
56,0.5656565656565656,0.34245652312953495
57,0.5757575757575758,0.34683260514538744
58,0.5858585858585859,0.34970372536839983
59,0.595959595959596,0.3631322032943468
60,0.6060606060606061,0.37039414240093926
61,0.6161616161616161,0.37457248712968316
62,0.6262626262626263,0.3813500417713101
63,0.6363636363636364,0.38862399807648085
64,0.6464646464646465,0.3952033248746158
65,0.6565656565656566,0.39980617115133793
66,0.6666666666666666,0.40641833201710176
67,0.6767676767676768,0.41352379917357096
68,0.686868686868687,0.4226694706589208
69,0.696969696969697,0.42986027280283196
70,0.7070707070707071,0.4387483911683414
71,0.7171717171717171,0.44730211209798953
72,0.7272727272727273,0.45746275908257816
73,0.7373737373737375,0.46899041016903786
74,0.7474747474747475,0.48403957458189756
75,0.7575757575757576,0.49772289723278856
76,0.7676767676767676,0.5055063142696521
77,0.7777777777777778,0.5152693399927014
78,0.787878787878788,0.5222243190392639
79,0.797979797979798,0.5271854709294146
80,0.8080808080808081,0.5358038271657455
81,0.8181818181818181,0.5388049988639733
82,0.8282828282828284,0.5451568512055197
83,0.8383838383838385,0.5589667340907383
84,0.8484848484848485,0.5695808058820753
85,0.8585858585858586,0.5748173475791042
86,0.8686868686868686,0.580375983160391
87,0.8787878787878789,0.5920758981170248
88,0.888888888888889,0.6066822864990504
89,0.898989898989899,0.614782958489995
90,0.9090909090909091,0.6172781283286443
91,0.9191919191919191,0.6220650079274934
92,0.9292929292929294,0.6277569867079772
93,0.9393939393939394,0.63972842829357
94,0.9494949494949495,0.6465996995853666
95,0.9595959595959596,0.6578446876493408
96,0.9696969696969698,0.6707402682370315
97,0.9797979797979799,0.6790734800981171
98,0.98989898989899,0.685292386610366
99,1.0,0.6887781250098798
