scenario,real_time_plot,extrude_speed_slider,extrude_angle_slider,extrude_length_slider,down_length_slider,down_speed_slider,delay_after_down,shear_length,shear_speed,delay_after_shear,back_speed,moving_speed,moving_step_angle,time_delay,variable1,variable3,search_start,search_end,ground_height,extrude_back_speed
leg,False,1.0,0.0,5.0,4.0,1.0,3.0,17.0,1.0,0.0,1.0,10.0,5.0,0.0,14.3,0.0,13.4,20.0,14.8,4.0
time,toeforce_x,toeforce_y,toeforce_x_loadcell,toeforce_yloadcell,toe_position_x,toe_position_y,toe_velocity_x,toe_velocity_y,position,position1,torque,torque1,theta command,length command,state flag,current
9.73616623878479,0.5944158434867859,9.807536125183105,0.0,0.0,0.0019471002742648125,-0.18232427537441254,0.0,0.0,-0.12077701859618353,-0.06117942718013908,-0.45148077607154846,-0.5842448472976685,0.0,0.0,0.0,0.0
9.737607955932617,0.5962178111076355,9.764344215393066,0.0,0.0,0.001952568651176989,-0.18242087960243225,0.0,0.0,-0.12102868731919601,-0.06144308012805692,-0.44997867941856384,-0.5805970430374146,0.0,0.0,0.0,0.0
9.739081859588623,0.5962178111076355,9.764344215393066,0.0,0.0,0.001952568651176989,-0.18242087960243225,0.0,0.0,-0.12102868731919601,-0.06144308012805692,-0.44997867941856384,-0.5805970430374146,0.0,0.0,0.0,0.0
9.740916013717651,0.5962178111076355,9.764344215393066,0.0,0.0,0.001952568651176989,-0.18242087960243225,0.0,0.0,-0.1210047188693853,-0.06169474885106941,-0.4576742947101593,-0.5847170948982239,0.0,0.0,0.0,0.0
9.74248743057251,0.5962178111076355,9.764344215393066,0.0,0.0,0.001952568651176989,-0.18242087960243225,0.0,0.0,-0.1210047188693853,-0.06192244912427119,-0.4576742947101593,-0.583215057849884,0.0,0.0,0.0,0.0
9.744112730026245,0.5962178111076355,9.764344215393066,0.0,0.0,0.001952568651176989,-0.18242087960243225,0.0,0.0,-0.1210047188693853,-0.06192244912427119,-0.4576742947101593,-0.583215057849884,0.0,0.0,0.0,0.0
9.745581865310669,0.5962178111076355,9.764344215393066,0.0,0.0,0.001952568651176989,-0.18242087960243225,0.0,0.0,-0.12134027716673529,-0.0619464175740819,-0.45359736680984497,-0.5817845463752747,0.0,0.0,0.0,0.0
9.747114658355713,0.6049566268920898,9.825275421142578,0.0,0.0,0.001986836548894644,-0.18246006965637207,0.0,0.0,-0.12134027716673529,-0.0619464175740819,-0.45359736680984497,-0.5817845463752747,0.0,0.0,0.0,0.0
9.748496532440186,0.6049566268920898,9.825275421142578,0.0,0.0,0.001986836548894644,-0.18246006965637207,0.0,0.0,-0.12162789856446385,-0.0619464175740819,-0.45202380418777466,-0.5851462483406067,0.0,0.0,0.0,0.0
9.749833345413208,0.6049566268920898,9.825275421142578,0.0,0.0,0.001986836548894644,-0.18246006965637207,0.0,0.0,-0.12162789856446385,-0.0619464175740819,-0.45202380418777466,-0.5851462483406067,0.0,0.0,0.0,0.0
9.751120567321777,0.6049566268920898,9.825275421142578,0.0,0.0,0.001986836548894644,-0.18246006965637207,0.0,0.0,-0.12184361461276026,-0.0619464175740819,-0.4560428857803345,-0.5906673073768616,0.0,0.0,0.0,0.0
9.752415418624878,0.6049566268920898,9.825275421142578,0.0,0.0,0.001986836548894644,-0.18246006965637207,0.0,0.0,-0.12184361461276026,-0.0619464175740819,-0.4560428857803345,-0.5906673073768616,0.0,0.0,0.0,0.0
9.753671169281006,0.6049566268920898,9.825275421142578,0.0,0.0,0.001986836548894644,-0.18246006965637207,0.0,0.0,-0.12250274698255488,-0.062174117847283675,-0.45010626316070557,-0.5906673073768616,0.0,0.0,0.0,0.0
9.7549467086792,0.6049566268920898,9.825275421142578,0.0,0.0,0.001986836548894644,-0.18246006965637207,0.0,0.0,-0.12250274698255488,-0.062174117847283675,-0.45010626316070557,-0.5906673073768616,0.0,0.0,0.0,0.0
9.756210327148438,0.6049566268920898,9.825275421142578,0.0,0.0,0.001986836548894644,-0.18246006965637207,0.0,0.0,-0.12268251035613523,-0.062413802345390804,-0.451179176568985,-0.5858035683631897,0.0,0.0,0.0,0.0
9.757489204406738,0.6119773387908936,9.904882431030273,0.0,0.0,0.0019763961900025606,-0.18250036239624023,0.0,0.0,-0.12268251035613523,-0.062413802345390804,-0.451179176568985,-0.5858035683631897,0.0,0.0,0.0,0.0
9.758763790130615,0.6119773387908936,9.904882431030273,0.0,0.0,0.0019763961900025606,-0.18250036239624023,0.0,0.0,-0.12253869965727095,-0.06267745529330865,-0.45404016971588135,-0.5842300057411194,0.0,0.0,0.0,0.0
9.760051012039185,0.6119773387908936,9.904882431030273,0.0,0.0,0.0019763961900025606,-0.18250036239624023,0.0,0.0,-0.12253869965727095,-0.06267745529330865,-0.45404016971588135,-0.5842300057411194,0.0,0.0,0.0,0.0
9.761347532272339,0.6119773387908936,9.904882431030273,0.0,0.0,0.0019763961900025606,-0.18250036239624023,0.0,0.0,-0.12289822640443164,-0.06271340796802471,-0.4553099274635315,-0.5882178544998169,0.0,0.0,0.0,0.0
9.76282024383545,0.6119773387908936,9.904882431030273,0.0,0.0,0.0019763961900025606,-0.18250036239624023,0.0,0.0,-0.12289822640443164,-0.06271340796802471,-0.4553099274635315,-0.5882178544998169,0.0,0.0,0.0,0.0
9.764259815216064,0.6119773387908936,9.904882431030273,0.0,0.0,0.0019763961900025606,-0.18250036239624023,0.0,0.0,-0.12316187935234948,-0.06271340796802471,-0.45387938618659973,-0.5915795564651489,0.0,0.0,0.0,0.0
9.765691041946411,0.6119773387908936,9.904882431030273,0.0,0.0,0.0019763961900025606,-0.18250036239624023,0.0,0.0,-0.12316187935234948,-0.06271340796802471,-0.45387938618659973,-0.5915795564651489,0.0,0.0,0.0,0.0
9.767123222351074,0.5814129114151001,9.936680793762207,0.0,0.0,0.0019519245252013206,-0.18256406486034393,0.0,0.0,-0.12340156385045661,-0.06271340796802471,-0.4523058235645294,-0.5915795564651489,0.0,0.0,0.0,0.0
9.768648624420166,0.5814129114151001,9.936680793762207,0.0,0.0,0.0019519245252013206,-0.18256406486034393,0.0,0.0,-0.12340156385045661,-0.06271340796802471,-0.4523058235645294,-0.5915795564651489,0.0,0.0,0.0,0.0
9.770269870758057,0.5814129114151001,9.936680793762207,0.0,0.0,0.0019519245252013206,-0.18256406486034393,0.0,0.0,-0.12330569005121376,-0.06271340796802471,-0.4549522399902344,-0.5915795564651489,0.0,0.0,0.0,0.0
9.772035598754883,0.5814129114151001,9.936680793762207,0.0,0.0,0.0019519245252013206,-0.18256406486034393,0.0,0.0,-0.12353339032441554,-0.06310888738990149,-0.46044492721557617,-0.59263676404953,0.0,0.0,0.0,0.0
9.773510932922363,0.5814129114151001,9.936680793762207,0.0,0.0,0.0019519245252013206,-0.18256406486034393,0.0,0.0,-0.12353339032441554,-0.06310888738990149,-0.46044492721557617,-0.59263676404953,0.0,0.0,0.0,0.0
9.774981498718262,0.5814129114151001,9.936680793762207,0.0,0.0,0.0019519245252013206,-0.18256406486034393,0.0,0.0,-0.12376109059761732,-0.06336055611291397,-0.4555812180042267,-0.5912777781486511,0.0,0.0,0.0,0.0
9.776466369628906,0.5814129114151001,9.936680793762207,0.0,0.0,0.0019519245252013206,-0.18256406486034393,0.0,0.0,-0.12402474354553517,-0.06360024061102111,-0.4541506767272949,-0.5897042155265808,0.0,0.0,0.0,0.0
9.778095722198486,0.657159149646759,9.932942390441895,0.0,0.0,0.0020666534546762705,-0.1826545149087906,0.0,0.0,-0.12402474354553517,-0.06360024061102111,-0.4541506767272949,-0.5897042155265808,0.0,0.0,0.0,0.0
9.779568433761597,0.657159149646759,9.932942390441895,0.0,0.0,0.0020666534546762705,-0.1826545149087906,0.0,0.0,-0.12407268044515658,-0.06348039836196755,-0.45264866948127747,-0.5924937129020691,0.0,0.0,0.0,0.0
9.781163692474365,0.657159149646759,9.932942390441895,0.0,0.0,0.0020666534546762705,-0.1826545149087906,0.0,0.0,-0.12407268044515658,-0.06348039836196755,-0.45264866948127747,-0.5924937129020691,0.0,0.0,0.0,0.0
9.782651901245117,0.657159149646759,9.932942390441895,0.0,0.0,0.0020666534546762705,-0.1826545149087906,0.0,0.0,-0.12407268044515658,-0.06348039836196755,-0.46137699484825134,-0.5980048179626465,0.0,0.0,0.0,0.0
9.784119844436646,0.657159149646759,9.932942390441895,0.0,0.0,0.0020666534546762705,-0.1826545149087906,0.0,0.0,-0.12431236494326371,-0.06348039836196755,-0.45794373750686646,-0.5980048179626465,0.0,0.0,0.0,0.0
9.785567283630371,0.657159149646759,9.932942390441895,0.0,0.0,0.0020666534546762705,-0.1826545149087906,0.0,0.0,-0.12431236494326371,-0.06348039836196755,-0.45794373750686646,-0.5980048179626465,0.0,0.0,0.0,0.0
9.787042379379272,0.6155086755752563,9.956587791442871,0.0,0.0,0.002054140204563737,-0.18270368874073029,0.0,0.0,-0.1245640336662762,-0.06385190933403359,-0.456441730260849,-0.5937132835388184,0.0,0.0,0.0,0.0
9.7885103225708,0.6155086755752563,9.956587791442871,0.0,0.0,0.002054140204563737,-0.18270368874073029,0.0,0.0,-0.1245640336662762,-0.06385190933403359,-0.456441730260849,-0.5937132835388184,0.0,0.0,0.0,0.0
9.789941310882568,0.6155086755752563,9.956587791442871,0.0,0.0,0.002054140204563737,-0.18270368874073029,0.0,0.0,-0.12480371816438333,-0.06410357805704608,-0.45493972301483154,-0.5922112464904785,0.0,0.0,0.0,0.0
9.791383981704712,0.6155086755752563,9.956587791442871,0.0,0.0,0.002054140204563737,-0.18270368874073029,0.0,0.0,-0.12480371816438333,-0.06410357805704608,-0.45493972301483154,-0.5922112464904785,0.0,0.0,0.0,0.0
9.792916059494019,0.6155086755752563,9.956587791442871,0.0,0.0,0.002054140204563737,-0.18270368874073029,0.0,0.0,-0.1248396708390994,-0.06436723100496393,-0.46230337023735046,-0.5961388349533081,0.0,0.0,0.0,0.0
